SALE TYPE,PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
PAST SALE,Townhouse,Canyon Country,91387.0,370000,2.0,2.5,CAN1 - Canyon Country 1,1356.0,73815.0,1992.0,66,273.0,300.0,34.4050903,-118.45246909999999
PAST SALE,Condo/Co-op,Canyon Country,91387.0,409500,3.0,2.0,CAN3 - Canyon Country 3,1339.0,43921.0,2004.0,24,306.0,317.0,34.4016588,-118.452977
PAST SALE,Single Family Residential,Canyon Country,91387.0,629900,4.0,3.0,CAN3 - Canyon Country 3,2471.0,4843.0,2008.0,87,255.0,80.0,34.4082407,-118.4370517
PAST SALE,Single Family Residential,Sylmar,91342.0,610000,4.0,3.0,0,2114.0,0.0,1983.0,81,289.0,90.0,34.3255675,-118.48178870000001
PAST SALE,Condo/Co-op,Canyon Country,91387.0,599466,2.0,2.0,Aliento,1617.0,0.0,2019.0,35,371.0,402.0,34.390919,-118.45393899999999
PAST SALE,Condo/Co-op,Canyon Country,91387.0,623466,2.0,2.5,Aliento,1686.0,0.0,2016.0,35,370.0,402.0,34.391011999999996,-118.45407
PAST SALE,Single Family Residential,Canyon Country,91387.0,622500,3.0,3.0,CAN3 - Canyon Country 3,2335.0,5358.0,2009.0,21,267.0,80.0,34.4076433,-118.4370517
PAST SALE,Townhouse,Stevenson Ranch,91381.0,417500,2.0,2.5,STEV - Stevenson Ranch,1164.0,81770.0,1990.0,76,359.0,295.0,34.3881299,-118.579029
PAST SALE,Townhouse,Stevenson Ranch,91381.0,449000,4.0,3.0,STEV - Stevenson Ranch,1348.0,9345.0,1999.0,47,333.0,370.0,34.389109999999995,-118.581507
PAST SALE,Condo/Co-op,Stevenson Ranch,91381.0,467000,3.0,2.0,STEV - Stevenson Ranch,1510.0,25416.0,2005.0,18,309.0,235.0,34.383165999999996,-118.576996
PAST SALE,Townhouse,Stevenson Ranch,91381.0,450000,3.0,2.5,STEV - Stevenson Ranch,1614.0,171857.0,1998.0,7,279.0,369.0,34.388697,-118.581787
PAST SALE,Condo/Co-op,Valencia,91355.0,325000,1.0,1.0,VAL1 - Valencia 1,740.0,81656.0,2003.0,19,439.0,350.0,34.4198665,-118.5644636
PAST SALE,Single Family Residential,Newhall,91321.0,619500,5.0,3.0,NEW5 - Newhall Area 5,3185.0,5479.0,2000.0,52,195.0,190.0,34.37383870000001,-118.506422
PAST SALE,Condo/Co-op,Newhall,91321.0,375000,3.0,2.5,NEW4 - Newhall 4,1132.0,123492.0,1992.0,47,331.0,350.0,34.402113,-118.46546699999999
PAST SALE,Condo/Co-op,Valencia,91355.0,325000,1.0,1.0,VAL1 - Valencia 1,880.0,532518.0,1987.0,45,369.0,275.0,34.4122799,-118.5524248
PAST SALE,Condo/Co-op,Saugus,91350.0,525000,4.0,3.0,VMET - Villa Metro,2122.0,55041.0,2015.0,45,247.0,219.0,34.4176439,-118.5154871
PAST SALE,Single Family Residential,Newhall,91321.0,589000,3.0,3.0,NEW4 - Newhall 4,1812.0,7969.0,1994.0,31,325.0,210.0,34.3955349,-118.4741014
PAST SALE,Single Family Residential,Valencia,91355.0,545000,2.0,2.0,VAL1 - Valencia 1,1259.0,3538.0,1985.0,31,433.0,82.0,34.4078818,-118.5548794
PAST SALE,Single Family Residential,Newhall,91321.0,475000,3.0,1.0,NEW1 - Newhall 1,840.0,7518.0,1958.0,33,565.0,0.0,34.3724729,-118.55433219999999
PAST SALE,Condo/Co-op,Valencia,91355.0,316000,2.0,1.75,VAL1 - Valencia 1,948.0,676061.0,1971.0,28,333.0,383.0,34.3892963,-118.56208249999999
PAST SALE,Condo/Co-op,Newhall,91321.0,415000,2.0,2.0,NEW4 - Newhall 4,1178.0,655073.0,1970.0,19,352.0,387.0,34.403651399999994,-118.48229280000001
PAST SALE,Condo/Co-op,Newhall,91321.0,421000,2.0,2.0,NEW4 - Newhall 4,1178.0,572861.0,1969.0,18,357.0,387.0,34.4007618,-118.48021680000001
PAST SALE,Condo/Co-op,Newhall,91321.0,344818,2.0,1.75,NEW4 - Newhall 4,1141.0,352420.0,1965.0,11,302.0,360.0,34.4029401,-118.48872990000001
PAST SALE,Townhouse,Newhall,91321.0,367500,3.0,3.0,NEW4 - Newhall 4,1132.0,93787.0,1990.0,11,325.0,350.0,34.4023409,-118.4668453
PAST SALE,Single Family Residential,Newhall,91321.0,550000,5.0,2.0,NEW4 - Newhall 4,1832.0,7212.0,1966.0,69,300.0,0.0,34.3988627,-118.4708622
PAST SALE,Single Family Residential,Newhall,91321.0,650000,4.0,3.0,NEW5 - Newhall Area 5,2756.0,5499.0,2002.0,52,236.0,190.0,34.3711192,-118.50402720000001
PAST SALE,Single Family Residential,Valencia,91355.0,469000,2.0,2.0,VAL1 - Valencia 1,864.0,6523.0,1979.0,25,543.0,57.0,34.401859,-118.541525
PAST SALE,Single Family Residential,Valencia,91355.0,690000,4.0,3.0,Valencia 1,2192.0,6187.0,1967.0,21,315.0,41.0,34.3831449,-118.5455311
PAST SALE,Condo/Co-op,Valencia,91355.0,310000,1.0,1.0,VAL1 - Valencia 1,693.0,842295.0,1989.0,18,447.0,275.0,34.410723,-118.5605659
PAST SALE,Single Family Residential,Newhall,91321.0,679000,4.0,3.0,NEW1 - Newhall 1,2686.0,5339.0,1984.0,52,253.0,220.0,34.359263899999995,-118.5413718
PAST SALE,Single Family Residential,Newhall,91321.0,660000,3.0,2.0,NEW1 - Newhall 1,1773.0,7515.0,1979.0,28,372.0,0.0,34.3759936,-118.5494757
PAST SALE,Condo/Co-op,Newhall,91321.0,309000,2.0,2.0,NEW5 - Newhall Area 5,819.0,132273.0,1990.0,62,377.0,322.0,34.3780945,-118.51123259999999
PAST SALE,Townhouse,Newhall,91321.0,395000,3.0,2.0,NEW1 - Newhall 1,1098.0,51364.0,1988.0,67,360.0,350.0,34.376793799999994,-118.5567767
PAST SALE,Single Family Residential,Newhall,91321.0,540000,2.0,2.0,NEW1 - Newhall 1,1225.0,6948.0,1957.0,35,441.0,0.0,34.375112200000004,-118.5535798
PAST SALE,Single Family Residential,Newhall,91321.0,610000,3.0,2.0,NEW1 - Newhall 1,1800.0,7459.0,1958.0,19,339.0,0.0,34.3753398,-118.55651110000001
PAST SALE,Single Family Residential,Newhall,91321.0,646000,3.0,2.0,NEW1 - Newhall 1,1780.0,7859.0,1966.0,13,363.0,0.0,34.3700849,-118.53563500000001
PAST SALE,Condo/Co-op,Valencia,91355.0,290000,2.0,1.75,VAL1 - Valencia 1,987.0,423588.0,1969.0,87,294.0,428.0,34.3806457,-118.54506620000001
PAST SALE,Townhouse,Valencia,91355.0,415000,2.0,2.0,VAL1 - Valencia 1,1040.0,1343.0,1975.0,80,399.0,340.0,34.388767,-118.55965900000001
PAST SALE,Single Family Residential,Valencia,91355.0,556000,2.0,2.0,VAL1 - Valencia 1,1374.0,5144.0,1983.0,68,405.0,54.0,34.4053607,-118.5488145
PAST SALE,Condo/Co-op,Valencia,91355.0,415500,2.0,1.5,VAL1 - Valencia 1,1040.0,1357.0,1975.0,61,400.0,340.0,34.389919,-118.55940700000001
PAST SALE,Single Family Residential,Valencia,91355.0,635000,4.0,2.0,VAL1 - Valencia 1,1891.0,5323.0,1969.0,45,336.0,0.0,34.3939977,-118.55257659999998
PAST SALE,Single Family Residential,Valencia,91355.0,614000,4.0,2.0,VAL1 - Valencia 1,1596.0,5404.0,1977.0,25,385.0,0.0,34.39622670000001,-118.5465344
PAST SALE,Townhouse,Valencia,91355.0,425000,3.0,2.25,VAL1 - Valencia 1,1217.0,1334.0,1972.0,19,349.0,284.0,34.389873,-118.56553100000001
PAST SALE,Condo/Co-op,Valencia,91355.0,380000,2.0,2.0,VAL1 - Valencia 1,925.0,842295.0,1989.0,17,411.0,275.0,34.410723,-118.5605659
PAST SALE,Townhouse,Saugus,91350.0,452000,4.0,3.0,CJRC - Circle J Ranch,1790.0,9157.0,2000.0,59,253.0,275.0,34.397306,-118.53689399999999
PAST SALE,Condo/Co-op,Valencia,91355.0,355000,2.0,1.75,VAL1 - Valencia 1,1000.0,842295.0,1989.0,41,355.0,275.0,34.410723,-118.5605659
PAST SALE,Condo/Co-op,Newhall,91321.0,338500,3.0,2.0,NEW4 - Newhall 4,1078.0,236676.0,1988.0,81,314.0,300.0,34.3983273,-118.4818878
PAST SALE,Townhouse,Newhall,91321.0,460000,3.0,2.0,NEW4 - Newhall 4,1469.0,595676.0,1981.0,82,313.0,365.0,34.4008768,-118.4854213
PAST SALE,Condo/Co-op,Valencia,91355.0,335000,1.0,1.0,VAL1 - Valencia 1,845.0,161613.0,2003.0,55,396.0,350.0,34.4188684,-118.563332
PAST SALE,Condo/Co-op,Valencia,91355.0,370000,2.0,2.0,VAL1 - Valencia 1,910.0,532518.0,1987.0,89,407.0,275.0,34.4122799,-118.5524248
PAST SALE,Condo/Co-op,Newhall,91321.0,275000,2.0,2.0,NEW1 - Newhall 1,850.0,512146.0,1979.0,87,324.0,345.0,34.377174,-118.5486126
PAST SALE,Condo/Co-op,Valencia,91355.0,314000,1.0,1.0,VAL1 - Valencia 1,710.0,244225.0,1987.0,68,442.0,275.0,34.4137343,-118.5492983
PAST SALE,Single Family Residential,Valencia,91355.0,485000,2.0,2.0,VAL1 - Valencia 1,896.0,3514.0,1986.0,67,541.0,57.0,34.4136229,-118.54730959999999
